Date,Demanded_Gas
1/1/2005,1819.58
2/1/2005,1895.33
3/1/2005,1765.86
4/1/2005,1642.7
5/1/2005,1895.54
6/1/2005,2051.72
7/1/2005,1962.05
8/1/2005,1889.66
9/1/2005,1739.1
10/1/2005,1695.92
11/1/2005,1648.95
12/1/2005,1560.98
1/1/2006,1610.45
2/1/2006,1806.33
3/1/2006,2006.88
4/1/2006,2108.31
5/1/2006,2298.9
6/1/2006,2398.88
7/1/2006,2480.62
8/1/2006,2413.08
9/1/2006,2298.49
10/1/2006,2273.91
11/1/2006,2134.41
12/1/2006,2025.98
1/1/2007,2108.85
2/1/2007,2006.81
3/1/2007,2259.02
4/1/2007,2036.62
5/1/2007,2361.78
6/1/2007,2567.22
7/1/2007,2618.43
8/1/2007,2579.35
9/1/2007,2506.83
10/1/2007,2657.24
11/1/2007,2577.97
12/1/2007,2489.39
1/1/2008,2548.33
2/1/2008,2694.39
3/1/2008,2575.71
4/1/2008,2600.26
5/1/2008,2562.91
6/1/2008,2689.6
7/1/2008,2598.57
8/1/2008,2561.87
9/1/2008,2404.84
10/1/2008,2503.78
11/1/2008,2482.93
12/1/2008,2383.92
1/1/2009,2364.05
2/1/2009,2377.22
3/1/2009,2536.7
4/1/2009,2585.33
5/1/2009,2782.32
6/1/2009,2786.68
7/1/2009,2866
8/1/2009,2939.05
9/1/2009,2943.11
10/1/2009,2733.51
11/1/2009,2679.06
12/1/2009,2615.28
1/1/2010,2452.18
2/1/2010,2415.37
3/1/2010,2460.19
4/1/2010,2643.9
5/1/2010,2864.36
6/1/2010,2991.73
7/1/2010,2917.25
8/1/2010,2846.52
9/1/2010,2540.74
10/1/2010,2551.87
11/1/2010,2655.23
12/1/2010,2690.02
1/1/2011,2662.78
2/1/2011,2741.3
3/1/2011,2802.85
4/1/2011,2787.8
5/1/2011,2964.66
6/1/2011,3073.95
7/1/2011,3065.73
8/1/2011,3016.1
9/1/2011,2822.19
10/1/2011,2670.82
11/1/2011,2591.47
12/1/2011,2665.53
1/1/2012,2732.35
2/1/2012,2712.34
3/1/2012,2772.88
4/1/2012,2619.31
5/1/2012,2955.93
6/1/2012,3118.81
7/1/2012,3035.23
8/1/2012,3107.21
9/1/2012,3037.41
10/1/2012,2766.59
11/1/2012,2681.8
12/1/2012,2602.73
1/1/2013,2823.51
2/1/2013,2864.93
3/1/2013,2761.36
4/1/2013,2893.01
5/1/2013,3112.88
6/1/2013,3258.9
7/1/2013,3238.75
8/1/2013,3315.44
9/1/2013,3305.59
10/1/2013,3079.38
11/1/2013,2825.44
12/1/2013,2759.08
1/1/2014,2837.06
2/1/2014,2933.25
3/1/2014,2997.46
4/1/2014,3181.93
5/1/2014,3201.21
6/1/2014,3248.36
7/1/2014,3064.23
8/1/2014,3370.22
9/1/2014,3547.07
10/1/2014,3284.34
11/1/2014,3073.01
12/1/2014,2940.49
1/1/2015,3214.04
2/1/2015,3310.43
3/1/2015,3296.65
4/1/2015,3109.79
5/1/2015,3253.82
6/1/2015,3358.52
7/1/2015,3658.49
8/1/2015,3432.34
9/1/2015,3514.52
10/1/2015,3417.37
11/1/2015,3324.2
12/1/2015,3490.3
1/1/2016,3143.12
2/1/2016,3036.73
3/1/2016,3150.76
4/1/2016,3282.65
5/1/2016,3130.28
6/1/2016,3575.49
7/1/2016,3614.35
8/1/2016,3576.18
9/1/2016,3465.07
10/1/2016,3381.48
11/1/2016,3167.43
12/1/2016,2879.86
1/1/2017,2690.93
2/1/2017,2815.47
3/1/2017,2838.2
4/1/2017,2914.01
5/1/2017,3119.05
6/1/2017,3253.94
7/1/2017,3491.19
8/1/2017,3491.77
9/1/2017,3339.67
10/1/2017,3017.18
11/1/2017,3135.4
12/1/2017,2983.61
1/1/2018,3041.46
2/1/2018,3186.84
3/1/2018,3203.37
4/1/2018,3222.52
5/1/2018,3270.33
6/1/2018,3479.69
7/1/2018,3751.09
8/1/2018,3620.71
9/1/2018,3664.34
10/1/2018,3765.69
11/1/2018,3772.25
12/1/2018,3676.41
1/1/2019,3500.08
2/1/2019,3647.6
3/1/2019,3807.71
4/1/2019,3750.5
5/1/2019,3876.48
6/1/2019,4184.76
7/1/2019,4361.97
8/1/2019,4343.61
9/1/2019,4445.27
10/1/2019,3037.44
11/1/2019,3076.62
12/1/2019,2947.09
1/1/2020,3402.47
2/1/2020,3402.47
3/1/2020,3819.3
4/1/2020,4235.25
5/1/2020,4387.91
6/1/2020,5168.27
7/1/2020,4581.99
8/1/2020,4163.77
9/1/2020,4451.61
10/1/2020,3869.77
11/1/2020,3996.14
12/1/2020,3941.12
1/1/2021,3298.43
2/1/2021,3454.21
3/1/2021,3681.3
4/1/2021,4104.82
5/1/2021,4243.93
6/1/2021,4985.53
7/1/2021,4631.85
8/1/2021,4098.81
9/1/2021,4424.39
10/1/2021,4417.51
11/1/2021,4557.36
12/1/2021,4538.89
1/1/2022,3320.75
2/1/2022,3449.8
3/1/2022,3206.96
4/1/2022,3403.44
5/1/2022,3350.03
6/1/2022,3498.7
7/1/2022,3350.97
8/1/2022,3506.42
9/1/2022,3778.37
