DATE,Temperature
1/1/2015,14.7
2/1/2015,16
3/1/2015,16.9
4/1/2015,19.3
5/1/2015,19.1
6/1/2015,19.1
7/1/2015,18.9
8/1/2015,19.2
9/1/2015,18.6
10/1/2015,18.1
11/1/2015,17.6
12/1/2015,16.3
1/1/2016,14.1
2/1/2016,15.8
3/1/2016,17.4
4/1/2016,20.1
5/1/2016,20.9
6/1/2016,18.9
7/1/2016,18.8
8/1/2016,19.2
9/1/2016,18.9
10/1/2016,17.9
11/1/2016,15.7
12/1/2016,16.6
1/1/2017,15.5
2/1/2017,16.9
3/1/2017,17.3
4/1/2017,19.3
5/1/2017,21.3
6/1/2017,20.3
7/1/2017,18.7
8/1/2017,19.6
9/1/2017,18.5
10/1/2017,17.6
11/1/2017,16.2
12/1/2017,14.6
1/1/2018,13.4
2/1/2018,17
3/1/2018,19.2
4/1/2018,19.3
5/1/2018,20.3
6/1/2018,19.6
7/1/2018,19
8/1/2018,18.2
9/1/2018,18.7
10/1/2018,18
11/1/2018,16
12/1/2018,14.9
1/1/2019,15.4
2/1/2019,18.1
3/1/2019,19.2
4/1/2019,20.2
5/1/2019,21.4
6/1/2019,20.1
7/1/2019,18.9
8/1/2019,19.8
9/1/2019,19.4
10/1/2019,19.1
11/1/2019,17.9
12/1/2019,15.7
1/1/2020,15.6
2/1/2020,18.11
3/1/2020,19.4
4/1/2020,20.7
5/1/2020,19.9
6/1/2020,19.8
7/1/2020,19.6
8/1/2020,19
9/1/2020,18.51
10/1/2020,16.9
11/1/2020,16.1
12/1/2020,15
1/1/2021,15.3
2/1/2021,16.3
3/1/2021,18.9
4/1/2021,19.6
5/1/2021,19.7
6/1/2021,18.6
7/1/2021,18.9
8/1/2021,19.1
9/1/2021,18
10/1/2021,18
11/1/2021,15.8
12/1/2021,16.1
1/1/2022,15.4
2/1/2022,16.2
3/1/2022,18.5
4/1/2022,20.3
5/1/2022,21.7
6/1/2022,19.3
7/1/2022,19.7
8/1/2022,19.1
9/1/2022,18
10/1/2022,18.2
11/1/2022,17.4
12/1/2022,15
